id,title,source,score,type
1,Cowboy Bebop,Original,8.75,TV
2,Cowboy Bebop: Tengoku no Tobira,Original,8.38,Movie
3,Trigun,Manga,8.22,TV
4,Witch Hunter Robin,Original,7.24,TV
5,Bouken Ou Beet,Manga,6.93,TV
6,Eyeshield 21,Manga,7.92,TV
7,Hachimitsu to Clover,Manga,7.99,TV
112,GetBackers,Manga,7.57,TV
8,Hungry Heart: Wild Striker,Manga,7.55,TV
9,Initial D Fourth Stage,Manga,8.17,TV
10,Monster,Manga,8.88,TV
11,Naruto,Manga,7.99,TV
12,One Piece,Manga,8.72,TV
13,Tennis no Oujisama,Manga,7.85,TV
14,Ring ni Kakero 1,Manga,6.41,TV
1876,To Heart 2 Special,Visual novel,6.34,Special
15,School Rumble,Manga,7.89,TV
16,Sunabouzu,Manga,7.37,TV
17,Texhnolyze,Original,7.76,TV
18,Trinity Blood,Light novel,7.29,TV
19,Yakitate!! Japan,Manga,7.91,TV
20,Zipang,Manga,7.48,TV
137,Maria-sama ga Miteru,Light novel,7.29,TV
21,Shinseiki Evangelion,Original,8.35,TV
22,Shinseiki Evangelion Movie: Shi to Shinsei,Original,7.47,Movie
23,"Shinseiki Evangelion Movie: Air/Magokoro wo, Kimi ni",Original,8.55,Movie
24,Kenpuu Denki Berserk,Manga,8.58,TV
25,Koukaku Kidoutai,Manga,8.27,Movie
26,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Manga,8.7,OVA
27,Rurouni Kenshin: Meiji Kenkaku Romantan,Manga,8.29,TV
28,Rurouni Kenshin: Meiji Kenkaku Romantan - Ishinshishi e no Chinkonka,Manga,7.55,Movie
29,Akira,Manga,8.16,Movie
30,.hack//Sign,Original,6.95,TV
31,Aa! Megami-sama!,Manga,7.29,OVA
32,Aa! Megami-sama! (TV),Manga,7.32,TV
33,Tenshi Kinryouku,Manga,6.26,OVA
34,Kidou Tenshi Angelic Layer,Manga,7.26,TV
167,Love Hina,Manga,7.1,TV
35,Ai Yori Aoshi,Manga,7.1,TV
36,Appleseed (Movie),Manga,7.06,Movie
37,Arc the Lad,Game,6.51,TV
38,Avenger,Original,5.86,TV
39,Beck,Manga,8.29,TV
40,Blue Gender,Original,7.02,TV
41,Chobits,Manga,7.4,TV
42,Chrno Crusade,Manga,7.61,TV
591,Pia Carrot e Youkoso!!,Visual novel,5.97,OVA
5654,Bouken Gabotenjima,Unknown,6.37,TV
43,D.N.Angel,Manga,7.17,TV
44,D.C.: Da Capo,Visual novel,6.71,TV
45,DearS,Manga,6.55,TV
46,Rozen Maiden,Manga,7.41,TV
47,Rozen Maiden: Träumend,Manga,7.62,TV
48,Azumanga Daiou The Animation,4-koma manga,8.02,TV
168,Love Hina Again,Manga,7.21,OVA
49,Basilisk: Kouga Ninpou Chou,Manga,7.54,TV
50,Black Cat (TV),Manga,7.32,TV
51,Cluster Edge,Original,6.3,TV
52,Full Metal Panic!,Light novel,7.6,TV
53,Full Metal Panic? Fumoffu,Light novel,8.02,TV
54,Full Metal Panic! The Second Raid,Light novel,7.92,TV
184,Lodoss-tou Senki: Eiyuu Kishi Den,Novel,7.12,TV
7841,Dallyeola Majing-ga-X,Unknown,,Movie
55,Gakuen Alice,Manga,7.64,TV
56,Soukyuu no Fafner: Dead Aggressor,Original,7.26,TV
57,Mahou Shoujo Lyrical Nanoha,Original,7.42,TV
58,Mahou Shoujo Lyrical Nanoha A's,Original,7.97,TV
59,Shuffle!,Visual novel,7.02,TV
60,Kidou Senshi Gundam,Original,7.77,TV
61,Kidou Senshi Gundam: Dai 08 MS Shoutai,Original,8.01,OVA
2538,Hikaru no Go: New Year Special,Manga,7.28,Special
62,Kidou Senshi Gundam 0080: Pocket no Naka no Sensou,Original,7.99,OVA
63,Kidou Senshi Gundam: Dai 08 MS Shoutai - Miller's Report,Original,6.75,Movie
64,Kidou Senshi Gundam 0083: Stardust Memory,Original,7.23,OVA
65,Kidou Senshi Zeta Gundam,Original,7.91,TV
66,Kidou Senshi Gundam ZZ,Original,6.71,TV
67,Kidou Senshi Gundam: Gyakushuu no Char,Novel,7.68,Movie
68,Kidou Senshi Gundam F91,Original,6.61,Movie
2892,Ginga Tetsudou Monogatari: Eien e no Bunkiten,Original,6.71,TV
69,Kidou Senshi Victory Gundam,Original,6.8,TV
70,Shin Kidou Senki Gundam Wing,Original,7.68,TV
71,Shin Kidou Senki Gundam Wing: Endless Waltz,Original,7.73,OVA
72,Kidou Shinseiki Gundam X,Original,7.37,TV
73,Kidou Senshi Gundam SEED,Original,7.74,TV
74,Kidou Senshi Gundam SEED Destiny,Original,7.18,TV
833,One Piece Movie 03: Chinjuu-jima no Chopper Oukoku,Manga,6.85,Movie
75,Turn A Gundam,Original,7.79,TV
76,Kidou Butouden G Gundam,Original,7.59,TV
77,Last Exile,Original,7.79,TV
78,Mai-HiME,Original,7.41,TV
79,Mai-Otome,Original,7.28,TV
80,Shin Shirayuki-hime Densetsu Prétear,Manga,7.16,TV
4006,Great Mazinger tai Getter Robo G: Kuuchuu Daigekitotsu,Unknown,5.98,Movie
81,Air,Visual novel,7.28,TV
82,Aishiteruze Baby★★,Manga,7.44,TV
83,Akazukin Chacha,Manga,7.57,TV
84,Ayashi no Ceres,Manga,7.18,TV
85,Boys Be...,Manga,6.4,TV
86,Hana yori Dango,Manga,7.59,TV
87,Ou Dorobou Jing,Manga,7.18,TV
88,Ou Dorobou Jing in Seventh Heaven,Manga,7.25,OVA
89,Bakuretsu Tenshi,Original,6.78,TV
17684,Longxia,Unknown,,Movie
90,Chuuka Ichiban!,Manga,7.59,TV
91,Corrector Yui,Original,7.1,TV
92,Chou Henshin Cosprayers,Original,4.81,TV
93,Uchuu no Stellvia,Original,7.36,TV
94,Sakigake!! Cromartie Koukou,Manga,7.89,TV
95,Ijigen no Sekai El-Hazard,Original,6.78,TV
96,Shinpi no Sekai El-Hazard (TV),Original,6.93,TV
1149,Jinshin Yuugi,Visual novel,5.68,OVA
97,Shinpi no Sekai El-Hazard,Original,7.26,OVA
98,Shinpi no Sekai El-Hazard Season 2,Original,6.78,OVA
99,Final Approach,Visual novel,6.51,TV
100,Fruits Basket,Manga,7.69,TV
101,Fullmetal Alchemist,Manga,8.11,TV
102,Full Moon wo Sagashite,Manga,7.94,TV
624,Harukanaru Toki no Naka de: Hachiyou Shou,Visual novel,7.0,TV
103,Fushigi Yuugi,Manga,7.61,TV
104,Fushigi Yuugi: Eikouden,Manga,6.8,OVA
105,Futakoi,Original,6.43,TV
106,Futakoi Alternative,Original,6.85,TV
107,Gate Keepers,Game,6.93,TV
108,Gate Keepers 21,Game,6.74,OVA
109,Gensoumaden Saiyuuki,Manga,7.54,TV
110,Saiyuuki Reload,Manga,7.37,TV
111,Saiyuuki Reload Gunlock,Manga,7.38,TV
1150,Sexfriend,Visual novel,6.68,OVA
113,Green Green,Visual novel,6.14,TV
114,Gunslinger Girl,Manga,7.39,TV
115,Hikaru no Go,Manga,8.07,TV
116,Hunter x Hunter,Manga,8.41,TV
117,Hunter x Hunter: Original Video Animation,Manga,8.31,OVA
118,Hunter x Hunter: Greed Island,Manga,8.18,OVA
119,Hunter x Hunter: Greed Island Final,Manga,8.25,OVA
120,Jinki:Extend,Manga,6.09,TV
121,Kamikaze Kaitou Jeanne,Manga,7.47,TV
122,Kannazuki no Miko,Manga,6.8,TV
123,Kanon,Visual novel,7.06,TV
124,Kareshi Kanojo no Jijou,Manga,7.59,TV
125,Kono Minikuku mo Utsukushii Sekai,Original,6.7,TV
126,Kimi ga Nozomu Eien,Visual novel,7.17,TV
127,Kita e.: Diamond Dust Drops,Visual novel,6.56,TV
128,Loveless,Manga,6.74,TV
129,Blood+,Original,7.61,TV
130,Re: Cutie Honey,Manga,7.12,OVA
131,Solty Rei,Original,7.29,TV
132,Juuni Kokuki,Novel,8.02,TV
133,Shaman King,Manga,7.75,TV
134,X/1999,Manga,6.57,Movie
135,X,Manga,7.39,TV
136,Mahou Sensei Negima!,Manga,6.93,TV
4516,Suika: Manatsu no Okurimono,Visual novel,5.84,OVA
